ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
PA,DUJ,Brookville,Dubois Regional,CS,5584
AK,ANI,Aniak,Aniak,CS,5579
AK,ILI,Iliamna,Iliamna,CS,5544
AK,FYU,Fort Yukon,Fort Yukon,CS,5492
AK,VAK,Chevak,Chevak,CS,5426
NY,MSS,Massena,Massena International-Richards Field,CS,5375
ME,AUG,Augusta,Augusta State,CS,5241
PA,AOO,Altoona,Altoona/Blair County,CS,5151
AK,IIK,Kipnuk,Kipnuk,CS,4978
NY,SLK,Saranac Lake,Adirondack Regional,CS,4930
CA,MCE,Merced,Merced Yosemite Regional,CS,4858
AK,HPB,Hooper Bay,Hooper Bay,CS,4801
AK,SGY,Skagway,Skagway,CS,4607
VT,RUT,Rutland,Rutland/Southern Vermont Regional,CS,4519
WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,4356
AK,SOV,Seldovia,Seldovia,CS,4309
AK,KSM,Saint Mary's,St Mary's,CS,4250
NE,AIA,Alliance,Alliance Municipal,CS,4207
CA,IPL,Imperial,Imperial County,CS,4183
HI,LUP,Kalaupapa,Kalaupapa,CS,4174
AK,WLK,Selawik,Selawik,CS,4154
IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,4112
NM,CNM,Carlsbad,Cavern City Air Terminal,CS,4076
AK,WTK,Noatak,Noatak,CS,4062
AR,HRO,Harrison,Boone County,CS,4032
AK,Z09,Kasigluk,Kasigluk,CS,4028
AK,PHO,Point Hope,Point Hope,CS,3998
IA,BRL,Burlington,Southeast Iowa Regional,CS,3951
HI,MUE,Kamuela,Waimea-Kohala,CS,3903
AK,BVK,Buckland,Buckland,CS,3835
AK,SCM,Scammon Bay,Scammon Bay,CS,3719
AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,3715
AK,MOU,Mountain Village,Mountain Village,CS,3678
AZ,SOW,Show Low,Show Low Regional,CS,3655
CA,MMH,Mammoth Lakes,Mammoth Yosemite,CS,3632
