ST,Locid,City,Airport Name,S/L,2008 ENP
IL,UIN,Quincy,Quincy Regional-Baldwin Field,GA,2044
OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,GA,2039
MT,SDY,Sidney,Sidney-Richland Municipal,GA,2031
WA,W49,Rosario,Rosario,GA,2031
LA,0R3,Abbeville,Abbeville Chris Crusta Memorial,GA,2003
AK,VEE,Venetie,Venetie,GA,1993
AK,TOG,Togiak Village,Togiak,GA,1992
TX,SKF,San Antonio,Lackland AFB (Kelly Field Annex),GA,1991
GU,UAM,"Andersen,Mariana Island",Andersen AFB,GA,1990
AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,1989
AK,WMO,White Mountain,White Mountain,GA,1989
IN,LAF,Lafayette,Purdue University,GA,1959
AK,TPO,Port Alsworth,Port Alsworth,GA,1938
TX,EFD,Houston,Ellington Field,GA,1924
AK,RBY,Ruby,Ruby,GA,1915
AR,HRO,Harrison,Boone County,GA,1903
IL,CPS,Cahokia,St Louis Downtown,GA,1900
AK,LKK,Kulik Lake,Kulik Lake,GA,1879
OR,AST,Astoria,Astoria Regional,GA,1851
NE,MCK,McCook,McCook Ben Nelson Regional,GA,1848
AK,WNA,Napakiak,Napakiak,GA,1840
AK,GLV,Golovin,Golovin,GA,1838
FL,HRT,Mary Esther,Hurlburt Field,GA,1835
CT,OXC,Oxford,Waterbury-Oxford,GA,1824
WA,WA83,West Sound,Westsound/Wsx,GA,1816
AK,4KA,Tununak,Tununak,GA,1809
AK,IGT,Nightmute,Nightmute,GA,1800
MI,YIP,Detroit,Willow Run,GA,1799
NE,AIA,Alliance,Alliance Municipal,GA,1786
GA,PDK,Atlanta,Dekalb-Peachtree,GA,1784
LA,PTN,Patterson,Harry P Williams Memorial,GA,1772
AK,AGN,Angoon,Angoon,GA,1770
NM,HOB,Hobbs,Lea County Regional,GA,1755
SC,SSC,Sumter,Shaw AFB,GA,1725
AK,MYU,Mekoryuk,Mekoryuk,GA,1718
CA,VIS,Visalia,Visalia Municipal,GA,1696
MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,GA,1696
AK,PIZ,Point Lay,Point Lay LRRS,GA,1693
PA,LNS,Lititz,Lancaster,GA,1673
CA,NTD,Point Mugu,Point Mugu NAS,GA,1670
AK,HYL,Hollis,Hollis,GA,1661
WA,74S,Anacortes,Anacortes,GA,1653
AK,AKI,Akiak,Akiak,GA,1620
AL,TCL,Tuscaloosa,Tuscaloosa Regional,GA,1612
NY,RME,Rome,Griffiss International,GA,1601
